residual_sugar,chlorides,total_sulfur_dioxide,density,pH,sulphates,alcohol,rating,wine_color
1.9,0.076,34.0,0.9978,3.51,0.56,9.4,5,red
2.6,0.098,67.0,0.9968,3.2,0.68,9.8,5,red
2.3,0.092,54.0,0.997,3.26,0.65,9.8,5,red
1.9,0.075,60.0,0.998,3.16,0.58,9.8,6,red
1.9,0.076,34.0,0.9978,3.51,0.56,9.4,5,red
1.8,0.075,40.0,0.9978,3.51,0.56,9.4,5,red
1.6,0.069,59.0,0.9964,3.3,0.46,9.4,5,red
1.2,0.065,21.0,0.9946,3.39,0.47,10.0,7,red
2.0,0.073,18.0,0.9968,3.36,0.57,9.5,7,red
6.1,0.071,102.0,0.9978,3.35,0.8,10.5,5,red
1.8,0.097,65.0,0.9959,3.28,0.54,9.2,5,red
6.1,0.071,102.0,0.9978,3.35,0.8,10.5,5,red
1.6,0.08900000000000001,59.0,0.9943,3.58,0.52,9.9,5,red
1.6,0.114,29.0,0.9974,3.26,1.56,9.1,5,red
3.8,0.17600000000000002,145.0,0.9986,3.16,0.88,9.2,5,red
3.9,0.17,148.0,0.9986,3.17,0.93,9.2,5,red
1.8,0.092,103.0,0.9969,3.3,0.75,10.5,7,red
1.7,0.368,56.0,0.9968,3.11,1.28,9.3,5,red
4.4,0.086,29.0,0.9974,3.38,0.5,9.0,4,red
1.8,0.341,56.0,0.9969,3.04,1.08,9.2,6,red
1.8,0.077,60.0,0.9968,3.39,0.53,9.4,6,red
2.3,0.08199999999999999,71.0,0.9982,3.52,0.65,9.7,5,red
1.6,0.106,37.0,0.9966,3.17,0.91,9.5,5,red
2.3,0.084,67.0,0.9968,3.17,0.53,9.4,5,red
2.4,0.085,40.0,0.9968,3.43,0.63,9.7,6,red
1.4,0.08,23.0,0.9955,3.34,0.56,9.3,5,red
1.8,0.08,11.0,0.9962,3.28,0.59,9.5,5,red
1.6,0.106,37.0,0.9966,3.17,0.91,9.5,5,red
1.9,0.08,35.0,0.9972,3.47,0.55,9.4,5,red
2.0,0.08199999999999999,16.0,0.9964,3.38,0.59,9.8,6,red
2.4,0.08900000000000001,82.0,0.9958,3.35,0.54,10.1,5,red
2.5,0.105,37.0,0.9966,3.46,0.57,10.6,6,red
2.3,0.083,113.0,0.9966,3.17,0.66,9.8,5,red
10.7,0.073,83.0,0.9993,3.45,0.52,9.4,6,red
1.8,0.103,50.0,0.9957,3.38,0.55,9.2,5,red
5.5,0.086,18.0,0.9986,3.4,0.55,9.6,6,red
2.4,0.086,15.0,0.9975,3.42,0.6,10.8,6,red
2.1,0.066,30.0,0.9968,3.23,0.73,9.7,7,red
1.5,0.172,19.0,0.994,3.5,0.48,9.8,4,red
5.9,0.07400000000000001,87.0,0.9978,3.33,0.83,10.5,5,red
5.9,0.07400000000000001,87.0,0.9978,3.33,0.83,10.5,5,red
2.8,0.08800000000000001,46.0,0.9976,3.26,0.51,9.3,4,red
2.6,0.332,14.0,0.9968,3.21,0.9,10.5,6,red
2.2,0.069,23.0,0.9968,3.3,1.2,10.3,5,red
1.8,0.05,11.0,0.9962,3.48,0.52,9.5,5,red
2.1,0.054000000000000006,65.0,0.9934,3.9,0.56,13.1,4,red
2.2,0.114,114.0,0.997,3.25,0.73,9.2,5,red
1.6,0.113,37.0,0.9969,3.25,0.58,9.5,5,red
1.6,0.066,12.0,0.9958,3.34,0.56,9.2,5,red
1.4,0.07400000000000001,96.0,0.9954,3.32,0.58,9.2,5,red
